adm1id,admname,category,catid,cmid,cmname,cmnameshort,country,currency,date,default,interpolated,label,mktid,mktname,price,ptid,scaling,sn,umid,unit,x,year
#adm1+code,#adm1+name,#item+type,#item+type+code,#item+code,#item+name,#item+name+short,#country+name,#currency,#date,,,#item+label,,#name+market,#value,,,#meta+id,,#item+unit,,0.0
2748.0,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,South Sudan,SSP,2013-07-15,,0.0,Cassava (dry) - Retail (3.5 KG),1388.0,Konyo Konyo,10.0,15.0,1.0,1388_290_15_47,47.0,3.5 KG,1373846400.0,2013.0
2748.0,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,South Sudan,SSP,2013-08-15,,0.0,Cassava (dry) - Retail (3.5 KG),1388.0,Konyo Konyo,10.0,15.0,1.0,1388_290_15_47,47.0,3.5 KG,1376524800.0,2013.0
2748.0,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,South Sudan,SSP,2013-09-15,,0.0,Cassava (dry) - Retail (3.5 KG),1388.0,Konyo Konyo,10.0,15.0,1.0,1388_290_15_47,47.0,3.5 KG,1379203200.0,2013.0
2766.0,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,South Sudan,SSP,2013-10-15,,0.0,Cassava (dry) - Retail (3.5 KG),1391.0,Jau,12.0,15.0,1.0,1391_290_15_47,47.0,3.5 KG,1381795200.0,2013.0
2766.0,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,South Sudan,SSP,2013-11-15,,0.0,Cassava (dry) - Retail (3.5 KG),1391.0,Jau,12.0,15.0,1.0,1391_290_15_47,47.0,3.5 KG,1384473600.0,2013.0
2766.0,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,South Sudan,SSP,2013-12-15,,0.0,Cassava (dry) - Retail (3.5 KG),1391.0,Jau,12.25,15.0,1.0,1391_290_15_47,47.0,3.5 KG,1387065600.0,2013.0
2766.0,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,South Sudan,SSP,2014-01-15,,0.0,Cassava (dry) - Retail (3.5 KG),1391.0,Jau,13.0,15.0,1.0,1391_290_15_47,47.0,3.5 KG,1389744000.0,2014.0
2766.0,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,South Sudan,SSP,2014-02-15,,0.0,Cassava (dry) - Retail (3.5 KG),1391.0,Jau,13.0,15.0,1.0,1391_290_15_47,47.0,3.5 KG,1392422400.0,2014.0
2766.0,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,South Sudan,SSP,2014-03-15,,0.0,Cassava (dry) - Retail (3.5 KG),1391.0,Jau,10.0,15.0,1.0,1391_290_15_47,47.0,3.5 KG,1394841600.0,2014.0
2766.0,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,South Sudan,SSP,2014-04-15,,0.0,Cassava (dry) - Retail (3.5 KG),1391.0,Jau,10.0,15.0,1.0,1391_290_15_47,47.0,3.5 KG,1397520000.0,2014.0
2766.0,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,South Sudan,SSP,2014-05-15,,0.0,Cassava (dry) - Retail (3.5 KG),1391.0,Jau,10.0,15.0,1.0,1391_290_15_47,47.0,3.5 KG,1400112000.0,2014.0
2766.0,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,South Sudan,SSP,2014-06-15,,0.0,Cassava (dry) - Retail (3.5 KG),1391.0,Jau,10.0,15.0,1.0,1391_290_15_47,47.0,3.5 KG,1402790400.0,2014.0
2766.0,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,South Sudan,SSP,2014-07-15,,0.0,Cassava (dry) - Retail (3.5 KG),1391.0,Jau,10.0,15.0,1.0,1391_290_15_47,47.0,3.5 KG,1405382400.0,2014.0
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2014-08-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
,,cereals and tubers,1,290,Cassava (dry) - Retail,Cassava dry,,,2014-09-15,,1.0,Cassava (dry) - Retail (3.5 KG),,,10.0,,1.0,,,3.5 KG,,
